month,district_id,type_group,dtp_count,dead_total,injured_total,children_dead,children_injured,avg_risk_score
1,2,Наезд на велосипедиста,1,0,1,0,0,0.010242226356145506
1,2,Наезд на пешехода,16,3,13,0,2,0.030215253859618044
1,2,Наезд на препятствие,4,0,5,0,0,0.021326238394229285
1,2,Наезд на стоящее ТС,1,0,1,0,0,0.008840507604859106
1,2,Падение пассажира,3,0,3,0,0,0.013518360967002476
1,2,Столкновение,31,2,39,0,4,0.0346786300211094
1,3,Наезд на пешехода,7,0,7,0,1,0.015090664732183475
1,3,Наезд на препятствие,2,0,3,0,0,0.0064006795525457716
1,3,Наезд на стоящее ТС,2,0,2,0,0,0.01951115853035245
1,3,Падение пассажира,3,0,3,0,0,0.05269176617516991
1,3,Столкновение,8,0,9,0,0,0.037384670665355925
1,4,Наезд на велосипедиста,1,0,1,0,0,0.030566832625458618
1,4,Наезд на пешехода,12,1,11,0,3,0.045732254758171186
1,4,Наезд на препятствие,1,0,1,0,0,0.004300861763207856
1,4,Падение пассажира,2,0,2,0,0,0.05993970352199968
1,4,Столкновение,2,0,4,0,1,0.05273693461764016
1,5,Наезд на пешехода,4,0,4,0,1,0.023375227002830772
1,5,Наезд на препятствие,3,0,3,0,0,0.009157110298108615
1,5,Наезд на стоящее ТС,1,0,2,0,0,0.0061932672907132405
1,5,Падение пассажира,1,0,1,0,0,0.0731324004288131
1,5,Столкновение,4,0,5,0,0,0.016489597636838237
1,6,Наезд на пешехода,10,0,10,0,0,0.030150764583132345
1,6,Столкновение,7,0,8,0,0,0.041327293928059325
1,7,Наезд на пешехода,7,3,5,0,2,0.022188791215248853
1,7,Наезд на препятствие,1,0,1,0,0,0.006569924889618599
1,7,Наезд на стоящее ТС,2,0,3,0,0,0.02782596422394186
1,7,Падение пассажира,1,0,1,0,1,0.0485742229039996
1,7,Столкновение,13,0,21,0,1,0.032002650262567885
1,8,Наезд на пешехода,4,0,5,0,2,0.01085388245239187
1,8,Столкновение,1,0,1,0,0,0.007088193402362838
1,9,Наезд на велосипедиста,1,0,1,0,0,0.025973076717705802
1,9,Наезд на пешехода,11,0,12,0,1,0.030032094335881762
1,9,Наезд на стоящее ТС,1,0,1,0,0,0.0456451040144651
1,9,Падение пассажира,1,0,1,0,0,0.04233806409806616
1,9,Столкновение,6,0,8,0,1,0.0330545861703981
1,10,Наезд на пешехода,6,1,5,0,3,0.02716695155479712
1,10,Наезд на препятствие,3,1,3,0,0,0.0266564990505824
1,10,Наезд на стоящее ТС,4,0,5,0,0,0.026449849091660635
1,10,Столкновение,10,0,12,0,0,0.017361201947973047
1,12,Наезд на пешехода,5,2,5,0,1,0.03217646744896615
1,12,Наезд на препятствие,1,0,1,0,0,0.004436734740493017
1,12,Наезд на стоящее ТС,1,0,1,0,0,0.008382343836405612
1,12,Падение пассажира,2,0,2,0,0,0.010700021726923862
1,12,Столкновение,10,0,13,0,1,0.021073253915419938
1,13,Наезд на велосипедиста,1,0,1,0,0,0.03273206054441905
1,13,Наезд на пешехода,6,0,6,0,0,0.05308216497171137
1,13,Наезд на препятствие,2,0,3,0,0,0.05104121780888841
1,13,Наезд на стоящее ТС,3,1,4,0,0,0.005257529465519037
1,13,Падение пассажира,1,0,1,0,0,0.008241870006645556
1,13,Столкновение,14,0,22,0,1,0.03201856856455277
1,14,Наезд на велосипедиста,3,0,3,0,0,0.00734286791684289
1,14,Наезд на пешехода,13,1,12,0,4,0.023232097729196325
1,14,Падение пассажира,2,0,2,0,0,0.006918249849572622
1,14,Столкновение,3,0,3,0,0,0.004961265532682057
1,15,Наезд на пешехода,5,0,6,0,0,0.016597977902143037
1,15,Падение пассажира,1,0,1,0,0,0.008998224382115803
1,15,Столкновение,7,0,7,0,0,0.01759631943209031
1,16,Наезд на пешехода,9,0,9,0,2,0.014731605161383514
1,16,Столкновение,4,0,4,0,0,0.029172594755143628
1,17,Наезд на велосипедиста,1,0,1,0,0,0.026376785105789377
1,17,Наезд на пешехода,9,0,9,0,2,0.025340846287395163
1,17,Столкновение,14,0,20,0,2,0.021961043385321503
1,18,Наезд на велосипедиста,1,0,1,0,0,0.02949506687079379
1,18,Наезд на пешехода,6,0,7,0,1,0.011532514557285841
1,18,Наезд на препятствие,1,0,2,0,1,0.03473226471262083
1,18,Падение пассажира,2,0,2,0,0,0.05376163080408004
1,18,Столкновение,12,0,12,0,0,0.024859853811980397
1,19,Наезд на пешехода,13,0,13,0,3,0.02044755554158559
1,19,Наезд на препятствие,3,0,3,0,0,0.014456958618871328
1,19,Наезд на стоящее ТС,2,0,4,0,1,0.03682095136979223
1,19,Падение пассажира,4,0,4,0,0,0.03760722017156308
1,19,Столкновение,9,0,11,0,0,0.017338978992878076
1,20,Наезд на пешехода,15,0,16,0,6,0.02125574726064687
1,20,Наезд на препятствие,1,0,1,0,0,0.009353038181049628
1,20,Прочее,1,0,2,0,0,0.06735815062178024
1,20,Столкновение,8,0,10,0,0,0.02778310969738637
1,21,Наезд на пешехода,1,1,0,0,0,0.0781520095789685
1,21,Наезд на препятствие,1,0,2,0,0,0.16029366500488396
1,21,Столкновение,5,1,8,0,0,0.026078938332762917
1,22,Наезд на пешехода,6,0,6,0,1,0.025833883692030133
1,22,Наезд на стоящее ТС,1,0,2,0,0,0.006949621666183488
1,22,Падение пассажира,2,0,2,0,0,0.007296427037307747
1,22,Столкновение,5,0,8,0,3,0.012467484844307672
1,23,Наезд на пешехода,15,0,15,0,2,0.01510172209463331
1,23,Наезд на препятствие,2,0,2,0,0,0.020832815090003065
1,23,Наезд на стоящее ТС,1,0,1,0,0,0.003924204164302497
1,23,Падение пассажира,1,0,2,0,0,0.010132755945321176
1,23,Столкновение,16,0,16,0,1,0.017922675543368766
1,24,Наезд на пешехода,3,0,4,0,1,0.029021844521762808
1,24,Наезд на стоящее ТС,1,0,1,0,0,0.001539111317401326
1,24,Падение пассажира,1,0,1,0,0,0.051278176121040776
1,24,Столкновение,2,0,2,0,0,0.003980288749161757
1,26,Наезд на пешехода,2,0,2,0,0,0.08241879597990738
1,26,Наезд на препятствие,1,0,1,0,0,0.009353038181049628
1,26,Наезд на стоящее ТС,1,0,1,0,0,0.07390606054287775
1,26,Столкновение,13,0,16,0,2,0.06082448222943709
1,27,Наезд на пешехода,11,0,11,0,1,0.021071885875826285
1,27,Падение пассажира,1,0,1,0,0,0.008241870006645556
1,27,Столкновение,7,0,9,0,1,0.03433103271184538
1,28,Наезд на пешехода,6,0,6,0,0,0.039462820584264625
1,28,Наезд на препятствие,1,0,2,0,0,0.0020516418935918467
1,28,Столкновение,9,0,10,0,0,0.025546126949951856
1,29,Наезд на пешехода,4,0,4,0,0,0.005228098963822068
1,29,Наезд на препятствие,1,0,1,0,0,0.0020516418935918467
1,29,Падение пассажира,3,0,3,0,1,0.008132125804783766
1,29,Столкновение,9,0,14,0,3,0.02999739594221122
1,30,Наезд на пешехода,8,0,8,0,2,0.026504854857849248
1,30,Наезд на препятствие,2,0,2,0,1,0.03702040368780095
1,30,Наезд на стоящее ТС,1,0,2,0,0,0.008382343836405612
1,30,Столкновение,14,0,18,0,3,0.02137002749101948
1,31,Наезд на велосипедиста,1,0,1,0,0,0.07726638591895908
1,31,Наезд на пешехода,13,1,13,0,2,0.02704302030816958
1,31,Наезд на препятствие,2,0,2,0,0,0.002807996269062094
1,31,Падение пассажира,2,0,4,0,0,0.022310644207147217
1,31,Столкновение,4,0,4,0,0,0.05520674464958938
1,32,Наезд на пешехода,12,0,12,0,1,0.03184525339557503
1,32,Наезд на препятствие,3,2,4,0,0,0.0035763650244563603
1,32,Столкновение,9,1,11,0,2,0.016225663836206883
1,33,Наезд на велосипедиста,1,0,1,0,0,0.010882551011125327
1,33,Наезд на пешехода,4,0,4,0,0,0.018216770396048056
1,33,Столкновение,7,0,8,0,1,0.018947712067163645
1,34,Наезд на пешехода,11,1,10,0,1,0.030948181114645045
1,34,Столкновение,7,0,9,0,0,0.017216674650957456
1,35,Столкновение,2,0,5,0,0,0.0695091497919793
1,36,Наезд на пешехода,6,1,5,0,0,0.030026340178575226
1,36,Столкновение,1,0,1,0,0,0.03023509974234231
1,37,Наезд на пешехода,2,0,2,0,0,0.036897979005354985
1,37,Столкновение,5,0,8,0,3,0.009745599196431693
1,38,Наезд на велосипедиста,1,0,1,0,0,0.007973163229734764
1,38,Наезд на пешехода,6,0,6,0,1,0.02199431138059973
1,38,Наезд на препятствие,2,0,3,0,0,0.004189631286380242
1,38,Столкновение,5,0,5,0,0,0.016488571534175454
1,39,Наезд на пешехода,8,1,7,0,2,0.02301335377116987
1,39,Падение пассажира,3,0,3,0,0,0.013059978287246629
1,39,Столкновение,9,0,11,0,0,0.027442661118205466
1,40,Наезд на пешехода,9,1,8,0,0,0.03163207624979805
1,40,Наезд на препятствие,2,0,2,0,0,0.021856849649116744
1,40,Падение пассажира,1,0,1,0,0,0.009376401569850928
1,40,Столкновение,4,0,4,0,0,0.019191791490726803
1,41,Наезд на пешехода,7,0,7,0,1,0.012348157020203174
