month,season,day_of_week_dtp,time_of_day,is_weekend,dtp_count,dead_total,injured_total,pct_fatal,pct_speed_viol,pct_priority_viol,pct_alcohol,pct_pedestrian,pct_night
1,winter,0,Вечер,0.0,29,1,36,0.034482758620689655,0.10344827586206896,0.13793103448275862,0.0,0.27586206896551724,0.0
1,winter,0,День,0.0,38,3,40,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.0,0.23684210526315788,0.0
1,winter,0,Ночь,0.0,12,0,13,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,1.0
1,winter,0,Утро,0.0,11,3,13,0.18181818181818182,0.0,0.18181818181818182,0.0,0.5454545454545454,0.0
1,winter,1,Вечер,0.0,14,0,16,0.0,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.0
1,winter,1,День,0.0,21,0,25,0.0,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.0
1,winter,1,Ночь,0.0,13,0,16,0.0,0.3076923076923077,0.23076923076923078,0.0,0.0,1.0
1,winter,1,Утро,0.0,14,0,16,0.0,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.0
1,winter,2,Вечер,0.0,18,0,21,0.0,0.05555555555555555,0.1111111111111111,0.0,0.2777777777777778,0.0
1,winter,2,День,0.0,32,1,36,0.03125,0.09375,0.0,0.0,0.25,0.0
1,winter,2,Ночь,0.0,14,0,20,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,1.0
1,winter,2,Утро,0.0,10,0,10,0.0,0.1,0.0,0.0,0.6,0.0
1,winter,3,Вечер,0.0,20,0,21,0.0,0.0,0.15,0.0,0.2,0.0
1,winter,3,День,0.0,25,1,28,0.04,0.12,0.12,0.0,0.28,0.0
1,winter,3,Ночь,0.0,8,1,13,0.125,0.25,0.25,0.0,0.0,1.0
1,winter,3,Утро,0.0,9,2,10,0.1111111111111111,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0
1,winter,4,Вечер,0.0,31,2,33,0.06451612903225806,0.12903225806451613,0.16129032258064516,0.0,0.1935483870967742,0.0
1,winter,4,День,0.0,33,1,37,0.030303030303030304,0.06060606060606061,0.18181818181818182,0.0,0.36363636363636365,0.0
