dtp_id,h3_r8,h3_r9,coord_valid,has_traffic_light,has_crosswalk,has_unregulated_cross,has_regulated_cross,has_bus_stop,has_roundabout,has_bridge,has_underground_cross,has_school_nearby,has_residential,has_gas_station,has_camera,is_intersection,is_open_road,poi_count_from_data,traffic_lane_amount,dtp_traffic_lane,traffic_area_width,wayside_width,sidewalk_width,center_mall_width,lane_width_m,has_sidewalk,has_center_divider,is_multilane,dtp_lane_normalized,srf_code,tr_area_state_code,cmall_type_code,cut_code,cut_pr_code,distance_to_intersection_m,distance_to_crosswalk_m,distance_to_bus_stop_m,poi_count_100m,poi_count_300m,crossing_density,stop_density,speed_limit,road_class,landuse_type,h3_res,cell_id
501946227,8811aa7157fffff,8911aa71577ffff,1,,,0,0,0,,0,0,0,1,0,0,0,1,2,3.0,1.0,108.0,2.0,0.0,16.0,36.0,0,1,0,0.3333333333333333,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,secondary,residential,8,8811aa7157fffff
501958627,8811aa72e7fffff,8911aa72e7bffff,1,,,0,1,1,,0,0,0,1,0,0,0,0,2,4.0,2.0,140.0,0.0,48.0,10.0,35.0,1,1,1,0.5,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с грунтовым покрытием,Прямая в плане,Горизонтальный,,,,,,,,,tertiary,residential,8,8811aa72e7fffff
501966227,8811aa4ab5fffff,8911aa4ab4fffff,1,,,0,0,1,,0,0,0,0,0,0,0,1,1,4.0,1.0,150.0,0.0,25.0,0.0,37.5,1,0,1,0.25,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,residential,residential,8,8811aa4ab5fffff
501997427,8811aa0995fffff,8911aa09943ffff,1,,,0,0,1,,0,0,0,0,0,0,1,0,2,4.0,2.0,256.0,0.0,15.0,94.0,64.0,1,1,1,0.5,Асфальтобетонное,Обработанное противогололедными материалами,Разделительная полоса с грунтовым покрытием,Прямая в плане,Горизонтальный,,,,,,,,,secondary,retail,8,8811aa0995fffff
502000627,8811aa4e41fffff,8911aa4e40fffff,1,,,0,0,1,,0,0,0,0,0,0,0,1,2,5.0,4.0,180.0,10.0,0.0,40.0,36.0,0,1,1,0.8,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,residential,residential,8,8811aa4e41fffff
503142027,8811aa6017fffff,8911aa6016fffff,1,,,0,0,0,,0,0,0,0,0,0,0,1,0,5.0,1.0,226.0,30.0,0.0,40.0,45.2,0,1,1,0.2,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa6017fffff
514047827,881181b457fffff,891181b4563ffff,1,,,0,0,0,,0,0,0,0,1,0,0,1,1,6.0,1.0,238.0,10.0,0.0,20.0,39.666666666666664,0,1,1,0.16666666666666666,Асфальтобетонное,Мокрое,Разделительная полоса с барьером в виде железобетонной конструкции,Прямая в плане,Горизонтальный,,,,,,,,,trunk,,8,881181b457fffff
501935027,8811aa45dbfffff,8911aa45d17ffff,1,,,0,1,1,,1,0,0,1,0,0,0,0,3,3.0,3.0,122.0,0.0,0.0,20.0,40.666666666666664,0,1,0,1.0,"Асфальтобетонное, с поверхностной обработкой",Обработанное противогололедными материалами,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa45dbfffff
501971827,8811aa72e7fffff,8911aa72e63ffff,1,,,1,1,0,,0,0,0,1,0,0,0,0,2,1.0,1.0,54.0,0.0,26.0,0.0,54.0,1,0,0,1.0,Асфальтобетонное,Заснеженное,Разделительная полоса отсутствует,Прямая в плане,Горизонтальный,,,,,,,,,tertiary,residential,8,8811aa72e7fffff
501933427,8811aa7023fffff,8911aa70223ffff,1,,,0,1,1,,0,0,0,1,0,0,1,0,5,7.0,3.0,264.0,0.0,30.0,6.0,37.714285714285715,1,1,1,0.42857142857142855,Асфальтобетонное,Заснеженное,Разделительная полоса с барьером в виде металлической конструкции,Прямая в плане,Горизонтальный,,,,,,,,,,,8,8811aa7023fffff
