cell_id,time_bucket,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m
55.33_37.09,2020-01-17 19:00:00,0.7,-3.1609447,none,0.0,6.0,11.901798,21.96,95.064224,1002.7482,
55.39_37.18,2020-01-01 11:00:00,-2.15,-8.74206,none,0.0,4.0,23.83896,48.96,62.514606,984.3476,
55.39_37.22,2020-01-23 20:00:00,-5.4,-11.213077,none,0.0,4.0,16.831684,34.56,62.694206,987.7471,
55.44_36.88,2020-01-21 19:00:00,2.75,-2.890188,rain,0.8,4.0,26.121714,51.839996,93.461426,974.6779,
55.44_37.29,2020-01-23 19:00:00,-5.35,-11.286494,none,0.0,4.0,17.581125,36.719997,61.466778,992.89575,
55.49_37.57,2020-01-02 06:00:00,-0.55,-5.747608,snow,0.1,4.0,18.359999,34.56,84.751755,990.3238,
55.51_37.23,2020-01-17 08:00:00,0.95,-3.281219,none,0.0,6.0,14.494192,30.239998,93.706795,1001.5875,
55.52_37.37,2020-01-19 13:00:00,0.05,-4.370191,none,0.0,4.0,12.768586,26.64,79.347084,1006.5808,
55.52_37.58,2020-01-19 00:00:00,-1.4,-6.4753,none,0.0,3.0,17.388409,32.760002,89.18612,1002.532,
55.53_37.52,2020-01-12 16:00:00,-0.5,-7.0852575,none,0.0,10.0,27.06472,54.0,78.67274,988.7735,
55.54_37.5,2020-01-21 20:00:00,2.55,-3.0699213,rain,1.0,3.0,25.982424,49.32,94.79735,978.5237,
55.54_37.53,2020-01-02 19:00:00,1.2,-3.4358728,none,0.0,4.0,16.954432,33.12,90.05554,988.7626,
55.54_37.54,2020-01-13 08:00:00,1.3,-3.6155248,none,0.0,10.0,19.134262,37.44,91.048935,984.09766,
55.54_37.54,2020-01-17 14:00:00,3.6,-0.46655607,none,0.0,4.0,15.03835,29.16,86.45333,1002.00476,
55.54_37.56,2020-01-15 14:00:00,0.85,-5.5688663,none,0.0,8.0,28.820242,52.199997,90.02837,997.11145,
55.54_37.57,2020-01-13 09:00:00,1.3,-3.6155248,none,0.0,10.0,19.134262,37.44,91.048935,982.5134,
55.55_37.42,2020-01-17 14:00:00,3.55,-0.07293606,none,0.0,4.0,11.879999,26.28,86.13907,1002.1198,
55.55_37.53,2020-01-10 16:00:00,0.4,-3.2996082,none,0.0,6.0,8.905908,20.880001,84.54963,991.81726,
55.55_37.54,2020-01-09 16:00:00,1.35,-2.8467038,none,0.0,6.0,14.417988,27.0,92.04727,989.4811,
55.55_37.55,2020-01-08 00:00:00,-0.55,-4.9450006,none,0.0,5.0,13.441071,24.84,88.92904,1001.7558,
55.55_37.56,2020-01-21 08:00:00,0.9,-4.8638773,snow,0.1,3.0,23.584808,44.639996,84.918884,989.3469,
55.55_37.59,2020-01-03 21:00:00,-1.0,-6.635312,none,0.0,4.0,21.94524,40.32,91.8982,983.8769,
55.56_37.41,2020-01-19 18:00:00,-0.75,-5.22739,none,0.0,3.0,13.202726,25.56,84.41406,1005.4362,
55.57_37.22,2020-01-11 15:00:00,-0.7,-4.627718,snow,0.3,11.0,10.703569,28.44,93.28002,989.62866,
55.57_37.6,2020-01-09 13:00:00,1.4,-3.2614934,none,0.0,7.0,16.923828,31.68,87.49058,990.9875,
